location_name,location_address,city,state,zip,location_type,geometry,times,
Target,5115 Leesburg Pike. ,Falls Curch,VA,22041,supermarket,"c(38.85012709570935, -77.11725756264066)",8am-10pm,
Target,6100 Arlington Blvd. ,Falls Curch,VA,22044,supermarket,"c(38.87338501601381, -77.14232012357739)",7am-10pm,
Target,740 N Glebe Rd. ,Arlington,VA,22203,supermarket,"c(38.884877500558645, -77.11382433511508)",7am-10pm,
Target,1500 Wilson Blvd.,Rosslyn,VA,22209,supermarket,"c(38.9017119701138, -77.07502886407605)",7am-10pm,
Lidl,3500 S Clark St. ,Arlington,VA,22202,supermarket,"c(38.84736196479271, -77.05193732802738)",7am-8pm,
Market Basket,1669 Crystal Sq Wy. ,Arlington,VA,22202,supermarket,"c(38.86206670396899, -77.052108989492)",7am-6pm,
Asian Grocery Market,4809 Columbia Pike. ,Arlington,VA,22204,supermarket,"c(38.857039334574246, -77.10916578176037)",8am-10pm,Potentially ethnic market
European Foods Import Export Inc. ,2700 N Pershing Dr. ,Arlington,VA,22201,supermarket,"c(38.88348497582637, -77.09080247719709)",10am-6pm,Potentially ethnic market
Fairlington Farmers Market,3308 S Stafford St. ,Arlington,VA,22206,farmers market,"c(38.837309192078706, -77.08704113974021)",Sunday 9am-1pm,
FRESHFARM Crystal City Market,2121 Crystal Dr. ,Arlington,VA,22202,farmers market,"c(38.85682848902868, -77.04773068457234)",Tuesday 3pm-7pm,
Lubber Run Farmers Market,4401 N Henderson Rd #2711,Arlington,VA,22203,farmers market,"c(38.8750060303359, -77.11158871657304)",Saturday 8am-12pm,
FRESHFARM Ballston Farmers Market,901 N Taylor St. ,Arlington,VA,22203,farmers market,"c(38.88489479839987, -77.1119320393256)",Thursday 3pm-7pm,
Westover Farmers Market,"Westover Library Plaza, 1644 N McKinley Rd. ",Arlington,VA,22205,farmers market,"c(38.887834437032495, -77.14094281191674)",Sunday 8am-12pm,
Arlington Farmers Market,2100 Clarendon Blvd UNIT 414 ,Arlington,VA,22201,farmers market,"c(38.89317892290409, -77.08618283288375)",Saturday 8am-12pm,
Belvedere Markets,1600 N Oak St. ,Arlington,VA,22209,supermarket,"c(38.89550431712263, -77.07447774550512)",10am-2pm; 4pm-8pm,
River Place Market,1117 Arlington Blvd. ,Arlington,VA,22209,supermarket,"c(38.894577991502175, -77.06804420898978)",8am-11pm,
FRESHFARM Rosslyn Market,1800 N Lynn St.,Arlington,VA,22209,farmers market,"c(38.89778442683661, -77.07079079101024)",Wednesday 3pm-7pm,
Cherrydale Farmers Market,4100 Vacation Ln. ,Arlington,VA,22207,farmers market,"c(38.90246026275278, -77.11147448834552)",Saturday 8am-12pm,
Shirlington Market,4201 31st St S,Arlington,VA,22206,supermarket,"c(38.84112951455015, -77.09126477930401)",10am-1pm; 4pm-9pm,Potentially ethnic market
La Bodega Supermarket,6170 Arlington Blvd. ,Falls Curch,VA,22044,supermarket,"c(38.87296554066915, -77.14648802669194)",9am-7pm,Potentially ethnic market
La Union Grocery,4308 Lee Hwy. ,Arlington,VA,22207,supermarket,"c(38.89933926229931, -77.11360237319482)",8am-9pm,
