ObjectId,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,AUTO_UNIQUE_ID_2021-09-27_fhernandez_UI_SNAP_Locations,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
7082,GIANT FOOD 229,8074 Rolling Rd,,Springfield,VA,22153,2928,FAIRFAX,27,USCGeocoder,78.1295,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,10763.0338,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.73922076,-77.21143431,Relaxed
7447,C-more Drug Store,6003 Leesburg Pike,,Falls Church,VA,22041,2237,FAIRFAX,28,USCGeocoder,31.2531,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2567.612532,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.85502842,-77.13803473,Relaxed
7862,"H MART HERNDON,LLC",1228 Elden St,,Herndon,VA,20170,5504,FAIRFAX,29,USCGeocoder,15.6213,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,29451.53932,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.96236557,-77.4005761,Relaxed
8703,1st Variety Mart LLC,5820 Seminary Rd,Ste K,Falls Church,VA,22041,3045,FAIRFAX,30,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,8436.952103,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.84738195,-77.12777931,Relaxed
8765,Giant Food 2741,10653 Braddock Rd,,Fairfax,VA,22032,2202,FAIRFAX,31,USCGeocoder,62.5013,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,12186.93617,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.82650989,-77.31459508,Relaxed
9156,Ali Baba Groceries And Halal Meat,6701 Richmond Hwy,Ste 104,Alexandria,VA,22306,6710,FAIRFAX,32,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2278.342862,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.77290931,-77.08040998,Relaxed
9530,Arlington Mill Farmers Market,909 S Dinwiddie St,,Arlington,VA,22204,2983,ARLINGTON,33,USCGeocoder,31.7233,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2260.23865,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.85667091,-77.11264051,Exact
10321,Tiger Market & Bakery,3903 Mount Vernon Ave,,Alexandria,VA,22305,2223,ALEXANDRIA,34,USCGeocoder,78.1249,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1969.369034,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.84131367,-77.06321572,Exact
10983,Target Store 3210,1500 Wilson Blvd,,Rosslyn,VA,22209,,ARLINGTON,35,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4595.110928,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.8943486,-77.07435492,Relaxed
11778,Bangla Bazar,5149 Lee Hwy,,Arlington,VA,22207,1603,ARLINGTON,36,USCGeocoder,46.8811,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3334.801395,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.89642801,-77.13224387,Exact
12188,7-Eleven Inc F 34336A,5834 N. Kings Highway,,Alexandria,VA,22303,,FAIRFAX,37,USCGeocoder,15.4359,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1752.784298,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.79120107,-77.07653259,Relaxed
12340,7-eleven 34082A,3503 Fairfax Dr,,Arlington,VA,22201,2350,ARLINGTON,38,USCGeocoder,31.2545,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2124.620003,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.8842108,-77.10166628,Exact
13314,7-Eleven Inc F 30479A,6221 Rolling Rd,,Springfield,VA,22152,1637,FAIRFAX,39,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,3999.61564,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.78131483,-77.23378833,Relaxed
13489,Lorton Farmers Market/Arcadia Foods Inc,8990 Lorton Station Blvd,,Lorton,VA,22079,4733,FAIRFAX,40,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,196080.8636,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.71922036,-77.2075424,Relaxed
14024,GIANT FOOD 748,2901-11 S Glebe Rd,,Arlington,VA,22206,2710,ARLINGTON,41,USCGeocoder,15.6232,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,14538.31938,ArealInterpolationGeometricCentroid,Parcel,96.63313609,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.84539635,-77.06891436,Relaxed
14025,GIANT FOOD 771,3115 Lee Hwy,,Arlington,VA,22201,4207,ARLINGTON,42,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,16184.2677,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.89662321,-77.09631368,Exact
14027,SAFEWAY  764,2500 N Harrison St,,Arlington,VA,22207,1600,ARLINGTON,43,USCGeocoder,15.6226,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,9272.665598,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.89685155,-77.13942322,Exact
14028,SAFEWAY  1358,5101 Wilson Blvd,,Arlington,VA,22205,1111,ARLINGTON,44,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,9480.237892,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.87805078,-77.12315177,Exact
14032,7-Eleven 10780T,3023 Duke St,,Alexandria,VA,22314,4516,ALEXANDRIA,45,USCGeocoder,15.6243,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2576.972979,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.80760136,-77.0821137,Exact
14051,Giant Food 2742,621 E Glebe Rd,,Alexandria,VA,22305,3045,ALEXANDRIA,46,USCGeocoder,31.2555,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,795.5003933,LinearInterpolationAddressRange,StreetSegment,95.85798817,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.8402756,-77.06752687,Relaxed
14052,SAFEWAY  866,500 S Royal St,,Alexandria,VA,22314,4140,ALEXANDRIA,47,USCGeocoder,46.8731,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2875.117519,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.80005859,-77.04452009,Exact
14191,Speedway 2870,7100 Little River Tpke,,Annandale,VA,22003,3101,FAIRFAX,48,USCGeocoder,15.6272,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2786.798931,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.83000332,-77.19044065,Exact
14362,BESTWAY VA SUPER MARKET,3109 Graham Rd,,Falls Church,VA,22042,2505,FAIRFAX,49,USCGeocoder,46.8737,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5484.110625,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.86562899,-77.19477688,Relaxed
14657,HARRIS TEETER 279,6351 Columbia Pike,,Falls Church,VA,22041,1224,FAIRFAX,50,USCGeocoder,31.2599,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7006.274886,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.83724942,-77.15578123,Relaxed
14758,GIANT FOOD 2747,6200 Little River Tpke,,Alexandria,VA,22312,1700,FAIRFAX,51,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,92097.66193,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.81896277,-77.14093378,Relaxed
15433,CVS 10170,8117 Leesburg Pike,,Vienna,VA,22182,,FAIRFAX,52,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2056.790333,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.91470135,-77.22622872,Relaxed
15975,Arlington Grocery,2524 Columbia Pike,,Arlington,VA,22204,4408,ARLINGTON,53,USCGeocoder,31.2532,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2117.265534,LinearInterpolationAddressRange,StreetSegment,97.92899408,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.86315335,-77.08432109,Relaxed
16291,EZ STOP & GO FOOD MART,7600 Lee Hwy,,Falls Church,VA,22042,2869,FAIRFAX,54,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1369.045449,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.87564032,-77.20778289,Relaxed
16460,Super Giant 0774,2501 9th Rd S,,Arlington,VA,22204,2351,ARLINGTON,55,USCGeocoder,156.2477,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6433.064513,LinearInterpolationAddressRange,StreetSegment,94.08284024,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.86464535,-77.08461284,Relaxed
16789,7-Eleven 10709C,4818 Beauregard St,,Alexandria,VA,22312,1736,FAIRFAX,56,USCGeocoder,46.8763,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3275.445321,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.81964383,-77.14313252,Relaxed
18167,7-Eleven Inc F 34269A,504 John Carlyle St,,Alexandria,VA,22314,6802,ALEXANDRIA,57,USCGeocoder,31.2514,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2391.015107,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.80155424,-77.06177591,Exact
18212,7-Eleven Inc F 10769A,421 E Braddock Rd,,Alexandria,VA,22301,2119,ALEXANDRIA,58,USCGeocoder,15.6259,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3246.552922,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.81352693,-77.05609991,Exact
19477,La Mart 3,6711 Bland St,,Springfield,VA,22150,2508,FAIRFAX,59,USCGeocoder,31.2516,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2881.416853,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.78077244,-77.18290393,Exact
19653,Dollar Tree 4715,14120B Lee Hwy,,Centreville,VA,20120,1913,FAIRFAX,60,USCGeocoder,31.2495,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7663.278714,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.83882904,-77.43331837,Exact
19857,Dollar Tree 919,9232 Old Keene Mill Rd,Ste. B,Burke,VA,22015,,FAIRFAX,61,USCGeocoder,15.6207,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,12438.92113,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.7755108,-77.26383715,Exact
20098,Mt Vernon Farmers Market/Arcadia Foods Inc,2501 Sherwood Hall Ln,,Alexandria,VA,22306,2702,FAIRFAX,62,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,17149.84188,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.74327113,-77.07543033,Relaxed
20177,Eden Supermarket 1,6763 Wilson Blvd.,,Falls Church,VA,22044,,FAIRFAX,63,USCGeocoder,125.0106,1,4.1,,,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5897330.856,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,38.856209,-77.15702,Relaxed;Soundex
20727,R.k. Market,1611 Washington Plz,,Reston,VA,20190,4305,FAIRFAX,64,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,51.89818482,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.96896431,-77.34086744,Exact
21002,GIANT FOOD 261,3131 Duke St,,Alexandria,VA,22314,4518,ALEXANDRIA,65,USCGeocoder,15.6314,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6187.708686,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.80786156,-77.08395285,Exact
