"orgid","organization","co_sponsor","type","location_name","location_address","city","state","zip_code","frequency","day","times","year_round_or_dates","name","email","phone","website","registration_contact","description","eligibility_requirements","eligibility_requirement","no_photo_id_required","no_registration_required","restricted_access_only_members_of_these_communities","age_restrictions_for_children_or_families_of_children_only","age_restrictions_for_seniors_only","income_maximum_for_eligibility","delivery_available","prepared_meals","grocery_items","fresh_produce","accepts_snap","languages_spoken_other_than_english","other_services_provided_diapers","other_services_provided_baby_formula","other_services_provided_financial_assistance","other_services_provided_clothing","other_services_provided","metro","bus","AUTO_UNIQUE_ID_2021-09-27_fhernandez_UI_Food_resources","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType"
"11","AFAC","NA","Food pantry","The APEX Apartments (AHC)","2910 S. Glebe Rd","Arlington","Virginia","22206","Weekly","Wednesday","9 - 11 AM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","AHC: Alba Silva alba.silva@ahcinc.org 571-232-4806 or Jasmine Rose: 571-217-8751","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.","Open to AHC residents who live at The Apex. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from AHC to visit this location weekly.","1","0","0","1","0","0","0","0","0","1","1","0","NA","0","0","0","0","0","NA","ART 87; Metrobus 10A/B, 23A",11,"USCGeocoder",15.6196,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","8306.00612540997","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8446970670328,-77.069434167168,"Exact"
"12","AFAC","NA","Food pantry","Whitefield CSC (Wesley Housing)","106 N. Thomas St.","Arlington","Virginia","22203","Weekly","Wednesday","10 AM - 12 PM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","Sherries Campbell, Wesley Housing: 571-316-9615","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.","Open to Wesley Housing residents who live at Whitefield or Colonial Village apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from Wesley Housing to visit this location weekly.","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","NA","ART 41,72; Metrobus 4B, 10B, 22A",12,"USCGeocoder",62.5026,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7877.76216158271","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8710050220836,-77.104754752203,"Exact"
"13","AFAC","NA","Food pantry","Woodbury Park & The Frederick Apartments (AHC)","2306 11th St N","Arlington","Virginia","22201","Weekly","Thursday","9:30 - 11:30 AM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","AHC: Ellen Mullan-Jayes & Amara Jordan, 703-807-1941","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.","Open to AHC residents who live at Woodbury Park & The Frederick apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from AHC to visit this location weekly.","1","0","0","1","0","0","0","0","0","1","1","0","NA","0","0","0","0","0","Clarendon, Courthouse","ART 41, 42, 45,77; Metrobus 4B, 38B",13,"USCGeocoder",78.1256,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","20378.1847591479","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8846925265855,-77.087154721517,"Exact"
"14","AFAC","NA","Food pantry","Marbella Apartments (APAH)","1301 N. Queen St","Arlington","Virginia","22209","Weekly","Thursday","1:30 - 3:30 PM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","APAH resident services: 571-800-6450 or residentservices@apah.org","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.","Open to APAH residents who live at Marbella, Courthouse Crossing, and Parc Rosslyn Apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from APAH to visit this location weekly.","1","0","0","1","0","0","0","1","0","1","1","0","NA","0","0","0","0","0","Courthouse","ART 41, 45, 47; Metrobus 4B, 38B",14,"USCGeocoder",78.1238,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2062.52784604591","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8892771629202,-77.0772860862092,"Exact"
"15","AFAC","NA","Food pantry","Gates of Ballston Apartments (AHC/COP)","4108 4th St N","Arlington","Virginia","22203","Weekly","Friday","11:30 AM - 2:30 PM","Year-round","Kayla Reid","clientservices@afac.org","571-384-1448","www.afac.org","Connie Freeman, DHS Community Outreach Program: (571) 384-7927 or Cfreem@arlingtonva.us","Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.","Open to all residents of the Buckingham. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from DHS Community Outreach Program or AHC Resident Services to visit this location weekly.","1","0","0","0","0","0","0","0","0","1","1","0","NA","0","0","0","0","0","NA","ART 41, 42, 72, 75; Metrobus 1A, 4B, 10B, 22A, 23A, 25B",15,"USCGeocoder",140.6297,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7054.6279467491","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8753775063216,-77.1074884573024,"Exact"
"16","Arlington Bridge Builders","Community Church of God","Food pantry","Community Church of God","790 South Carlin Springs Road","Arlington","Virginia","22204","3 times weekly. Participants can come once a week.","Wed, Thurs, Fri","10 AM - 5 PM (by appointment)","Year-round","Tariq J.","ContactArlingtonBridge@gmail.com","(571) 282-5156","https://www.arlingtonbridge.org/pandemic-response-campaign.html","In person at first visit","Visitors receive a box worth of pantry staples. Occasionally other items such as meat and vegetables are available. Families can come weekly as needed. Call or text the food pantry manager to set up an appointment or arrange for delivery if needed.","Open to all","0","1","0","0","0","0","0","1","0","1","0","0","NA","0","0","1","0","0","NA","ART 41, 45, 75; Metrobus 16A/C/E/G/H, 25B, 28A",16,"USCGeocoder",46.877,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1586.02137559454","LinearInterpolationAddressRange","StreetSegment","98.9940828402367","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8570037718454,-77.1259653127914,"Relaxed"
"17","Arlington Courthouse Farmer's Market","FreshFarm","Discount groceries","Courthouse Parking Lot","1400 N. Courthouse Rd.","Arlington","Virginia","22201","Weekly","Saturday","9 AM - 12 PM (Jan - Mar)
8:30 - 12:30 (Apr - Dec)","Year-round","Kim Haun","Khaun@arlingtonva.us","703-228-7872","https://www.freshfarm.org/markets/arlington","N/A","All FRESHFARM markets accept SNAP/EBT, WIC and Senior FMNP checks. FRESH Match provides a dollar-for-dollar match on all federal benefits spent at market.","NA","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","Courthouse","ART 41, 43, 45, 55, 77; Metrobus 4B, 38B",17,"USCGeocoder",343.7625,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","6058556.55068326","ArealInterpolationGeometricCentroid","USPSZip","60","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","1",38.887343,-77.098842,"Relaxed;Soundex"
"18","Arlington Public Schools","NA","School meals","Abingdon Elementary School","3035 South Abingdon St.","Arlington","Virginia","22206","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 72, 77; Metrobus 7A/F/Y, 22A",18,"USCGeocoder",62.5028,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","43251.6776149273","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8396522355781,-77.0962189730074,"Relaxed"
"19","Arlington Public Schools","NA","School meals","Arlington Career Center","816 S. Walter Reed Dr.","Arlington","Virginia","22204","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 41, 42, 45, 77; Metrobus 10B, 16A/C/E/G/H, 23A,",19,"USCGeocoder",62.5036,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4240.42834338755","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8654950669003,-77.087739338913,"Exact"
"20","Arlington Public Schools","NA","School meals","Ashlawn Elementary School","5950 8th Rd. N.","Arlington","Virginia","22205","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","Metrobus 1A",20,"USCGeocoder",203.1304,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7932.72312933579","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8734347009293,-77.1358884591019,"Exact"
"21","Arlington Public Schools","NA","School meals","Barcroft Elementary School","625 S. Wakefield St.","Arlington","Virginia","22204","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 41,72; Metrobus 16A/C/E/G/H, 22A",21,"USCGeocoder",31.2508,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","20742.2284613997","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8619071845991,-77.1074479207831,"Relaxed"
"22","Arlington Public Schools","NA","School meals","Barrett Elementary School","4401 N. Henderson Rd.","Arlington","Virginia","22203","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 41; Metrobus 4B, 10B, 22A, 22A/B,23T, 25B",22,"USCGeocoder",46.8741,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","19912.4059429886","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8730185871926,-77.1124107422461,"Exact"
"23","Arlington Public Schools","NA","School meals","Campbell Elementary School","737 S. Carlin Springs Rd.","Arlington","Virginia","22204","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 41, 45; Metrobus 16A/C/E/G, 25B, 28A",23,"USCGeocoder",62.497,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","34321.4176286845","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8583618304561,-77.1254989115607,"Relaxed"
"24","Arlington Public Schools","NA","School meals","Dr. Charles R. Drew Elementary School","3500 South 23rd St.","Arlington","Virginia","22206","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 84, 87; Metrobus 10B, 23 A/B/T",24,"USCGeocoder",46.8773,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2234.05469462322","LinearInterpolationAddressRange","StreetSegment","99.3491124260355","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8490008074598,-77.0857467587052,"Relaxed"
"25","Arlington Public Schools","NA","School meals","Glebe Elementary School","1770 N. Glebe Rd.","Arlington","Virginia","22207","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 52, 55, 72; Metrobus 23A/T",25,"USCGeocoder",31.249,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","28346.346983172","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8923789025171,-77.1214271318683,"Exact"
