geography,state,percent_food_insecure,number_food_insecure,total_population,unemployment_rate,percent_poor,percent_black,percent_hispanic,median_income,percent_homeowners,percent_disabled,missing_values,small_sample_100,small_sample_500,high_military,low_own_high_income,high_disab,high_college
"Census Tract 1023.02, Arlington County, Virginia",VA,0.071,300,"4,275",0.040,0.098,0.098,0.287,"141,033",0.582,0.026,0,0,0,0,0,0,0
"Census Tract 1024, Arlington County, Virginia",VA,0.066,220,"3,349",0.010,0.037,0.122,0.170,"97,578",0.476,0.086,0,0,0,0,0,0,0
"Census Tract 1025, Arlington County, Virginia",VA,0.088,500,"5,687",0.045,0.034,0.180,0.192,"121,500",0.256,0.060,0,0,0,0,1,0,0
"Census Tract 1026, Arlington County, Virginia",VA,0.078,290,"3,684",0.069,0.035,0.139,0.309,"98,281",0.517,0.063,0,0,0,0,0,0,0
"Census Tract 1027.01, Arlington County, Virginia",VA,0.114,470,"4,135",0.057,0.095,0.335,0.319,"54,482",0.045,0.028,0,0,0,0,0,0,0
"Census Tract 1027.02, Arlington County, Virginia",VA,0.048,100,"2,062",0.032,0.043,0.082,0.333,"122,850",0.620,0.040,0,0,0,0,0,0,0
"Census Tract 1028.01, Arlington County, Virginia",VA,0.059,500,"8,455",0.007,0.064,0.163,0.346,"96,759",0.440,0.065,0,0,0,0,0,0,0
"Census Tract 1028.02, Arlington County, Virginia",VA,0.045,60,"1,383",0.044,0.010,0.064,0.184,"132,292",0.798,0.074,0,0,0,0,0,0,0
"Census Tract 1029.01, Arlington County, Virginia",VA,0.041,120,"2,918",0.009,0.018,0.060,0.121,"117,358",0.662,0.045,0,0,0,0,0,0,0
"Census Tract 1029.02, Arlington County, Virginia",VA,0.073,310,"4,275",0.023,0.020,0.085,0.174,"108,048",0.380,0.072,0,0,0,0,0,0,0
"Census Tract 1030, Arlington County, Virginia",VA,0.029,100,"3,446",0.004,0.013,0.020,0.062,"149,926",0.740,0.023,0,0,0,0,0,0,0
"Census Tract 1031, Arlington County, Virginia",VA,0.098,580,"5,960",0.025,0.184,0.312,0.317,"82,240",0.458,0.055,0,0,0,0,0,0,0
"Census Tract 1032, Arlington County, Virginia",VA,0.080,480,"5,931",0.031,0.038,0.133,0.137,"102,222",0.328,0.036,0,0,0,0,0,0,0
"Census Tract 1033, Arlington County, Virginia",VA,0.116,280,"2,449",0.036,0.148,0.378,0.108,"71,181",0.252,0.046,0,0,0,0,0,0,0
"Census Tract 1034.01, Arlington County, Virginia",VA,0.081,110,"1,353",0.000,0.000,0.119,0.189,"126,250",0.000,0.069,0,0,0,1,1,0,0
"Census Tract 1034.02, Arlington County, Virginia",VA,0.105,620,"5,919",0.025,0.074,0.143,0.084,"121,690",0.233,0.071,0,0,0,0,1,0,0
"Census Tract 1035.01, Arlington County, Virginia",VA,0.096,300,"3,150",0.011,0.074,0.067,0.179,"97,651",0.248,0.059,0,0,0,0,0,0,0
"Census Tract 1035.02, Arlington County, Virginia",VA,0.143,700,"4,941",0.046,0.134,0.194,0.131,"110,929",0.052,0.059,0,0,0,0,1,0,0
"Census Tract 1035.03, Arlington County, Virginia",VA,0.134,600,"4,479",0.050,0.080,0.150,0.060,"105,287",0.056,0.056,0,0,0,0,1,0,0
"Census Tract 1036.01, Arlington County, Virginia",VA,0.056,160,"2,758",0.012,0.043,0.018,0.125,"177,625",0.587,0.059,0,0,0,0,0,0,0
"Census Tract 1036.02, Arlington County, Virginia",VA,0.142,170,"1,223",0.024,0.151,0.088,0.217,"81,328",0.009,0.041,0,0,0,0,0,0,0
"Census Tract 1037, Arlington County, Virginia",VA,0.030,80,"2,616",0.019,0.024,0.037,0.131,"200,515",0.883,0.086,0,0,0,0,0,0,0
"Census Tract 1038, Arlington County, Virginia",VA,0.103,520,"5,027",0.042,0.088,0.243,0.157,"91,181",0.244,0.044,0,0,0,0,0,0,0
"Census Tract 9801, Arlington County, Virginia",VA,.,.,0,.,.,.,.,.,.,.,1,1,1,0,0,1,1
"Census Tract 9802, Arlington County, Virginia",VA,.,.,4,0.000,0.000,0.000,0.000,.,0.000,0.000,1,1,1,0,0,0,0
