objectid,location_name,location_address,address_line__2,city,state,zip_code,county,regionsize,matchscore,latitude,longitude,matchtype,location_type,accepts_snap,organization,co_sponsor,type,frequency,day,times,year_round_or_dates,description,eligibility_requirements,eligibility_requirement,no_photo_id_required,no_registration_required,restricted_access_only_members_o,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,income_maximum_for_eligibility,delivery_available,prepared_meals,grocery_items,fresh_produce,languages_spoken_other_than_engl,other_services_provided_diapers,other_services_provided_baby_for,other_services_provided_financia,other_services_provided_clothing,other_services_provided,metro,bus,store_type,loctype_fresh
108965,Cvs Pharmacy 1407,3133 Lee Hwy,,Arlington,VA,22201,ARLINGTON,1226.9862,100,38.89605331,-77.09841919,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
112340,7-Eleven Inc F 20407A,5122 Wilson Blvd,,Arlington,VA,22205,ARLINGTON,1987.5519,100,38.87755966,-77.12268829,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
112765,7-Eleven Inc F 10716A,3901 Lee Hwy,,Arlington,VA,22207,ARLINGTON,1209.5922,100,38.8967247,-77.10726929,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
113774,7 Eleven Inc F 10740A,2525 Lee Hwy,,Arlington,VA,22201,ARLINGTON,991.95697,100,38.8951416,-77.09102631,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
128508,Harris Teeter 262,3600 S Glebe Rd,Suite W100,Arlington,VA,22202,ARLINGTON,724.42035,100,38.84259796,-77.05277252,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
138124,7-Eleven Inc F 33679A,3000 Washington Blvd,Ste A,Arlington,VA,22201,ARLINGTON,5908.918,100,38.88488007,-77.09414673,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
146634,Cvs Pharmacy 2750,1201 S Hayes St,,Arlington,VA,22202,ARLINGTON,7124.7212,100,38.86302567,-77.05934143,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
150063,Harris Teeter 371,950 S George Mason Dr,,Arlington,VA,22204,ARLINGTON,10419.438,100,38.86011505,-77.10234833,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
150315,7-Eleven Inc F 20117A,1500 South Fern Street,,Arlington,VA,22202,ARLINGTON,12542.258,95.857986,38.85911179,-77.05675507,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
151141,Walgreens 17593,1700 N Moore St Ste M1A,,Rosslyn,VA,22209,ARLINGTON,2067.749,96,38.89530182,-77.07187653,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
151162,Walgreens 19419,4720B Lee Hwy,,Arlington,VA,22207,ARLINGTON,7222.9756,97.633133,38.89743805,-77.12249756,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
151711,Walgreens 19265,5841 Washington Blvd,,Arlington,VA,22205,ARLINGTON,1634.7155,100,38.88505173,-77.14035797,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
153562,Walgreens 18419,1301 S Joyce St Ste D3,,Arlington,VA,22202,ARLINGTON,17528.17,100,38.86336136,-77.06362152,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
153563,Walgreens 19650,2820 Columbia Pike,,Arlington,VA,22204,ARLINGTON,4283.5166,99,38.86213303,-77.08659363,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
155220,Harris Teeter 086,600 N Glebe Rd,,Arlington,VA,22203,ARLINGTON,14106.305,100,38.8764267,-77.11027527,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
155437,Costco Wholesale 0233,1200 S Fern St,,Arlington,VA,22202,ARLINGTON,67530.891,100,38.86136627,-77.05786896,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
159600,Asia Market,5143 Lee Hwy,,Arlington,VA,22207,ARLINGTON,214.80977,100,38.89667892,-77.13195038,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
161942,New Start Cares Llc,610 S Carlin Springs Rd,Apt 153,Arlington,VA,22204,ARLINGTON,11846.209,100,38.8603363,-77.12819672,Exact,SNAP-retailer,1,,,Misc,,,,,,,,,,,,,,,,,0,,,,,,,,,Misc,SNAP-retailer without fresh produce
163076,7-Eleven Inc F 10741A,2704 Washington Blvd,,Arlington,VA,22201,ARLINGTON,3784.4224,97.928993,38.87966537,-77.08979797,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
163216,Walgreens 13941,3130 Lee Hwy,,Arlington,VA,22201,ARLINGTON,6762.3687,100,38.89550018,-77.0980072,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
165835,7-Eleven 27004,201 S Glebe Rd,,Arlington,VA,22204,ARLINGTON,2529.646,99,38.86833954,-77.09720612,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
167364,Cvs Pharmacy 2712,1 Pentagon,Room2B1080,Arlington,VA,22202,ARLINGTON,10262343,60,38.86133957,-77.05673981,Relaxed;Soundex,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
167880,Cvs Pharmacy 2142,2601 Columbia Pike,,Arlington,VA,22204,ARLINGTON,6919.8193,99,38.86330414,-77.08565521,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
174214,7-Eleven 37684A 37684A,3137 Wilson Blvd,,Arlington,VA,22201,ARLINGTON,218.8694,100,38.88710785,-77.09589386,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
174518,Ballston Freshfarm Market,901 N Taylor St,,Arlington,VA,22203,ARLINGTON,5087.0073,96.00592,38.88114166,-77.11249542,Relaxed,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
177175,7-Eleven Inc F 34642A,6730 Lee Hwy,,Arlington,VA,22205,ARLINGTON,2399.6565,100,38.88822556,-77.16039276,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
177673,7-Eleven 10747D 10747D,3510 Wilson Blvd,,Arlington,VA,22201,ARLINGTON,1519.6211,100,38.88223648,-77.10140228,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
182750,Cvs Pharmacy 1884,256 N Glebe Rd,,Arlington,VA,22203,ARLINGTON,2833.7622,100,38.8732872,-77.10443878,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
182751,Cvs Pharmacy 1375,5017 Columbia Pike,,Arlington,VA,22204,ARLINGTON,1940.9834,100,38.85579681,-77.11268616,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
183462,Harris Teeter  23,2425 N Harrison St,,Arlington,VA,22207,ARLINGTON,23334.52,100,38.89720917,-77.13811493,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
187289,Walgreens 3676,1671 Crystal Square Arc,,Arlington,VA,22202,ARLINGTON,10262343,60,38.86133957,-77.05673981,Relaxed;Soundex,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
188569,Cvs Pharmacy Cvs11229,1550 Crystal Dr,,Arlington,VA,22202,ARLINGTON,2181.2131,100,38.86021042,-77.04938507,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
190438,Mom'S Organic Market 14,1901 N Veitch St,,Arlington,VA,22201,ARLINGTON,2328.4502,100,38.89601898,-77.08644104,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
195228,Cvs Pharmacy 2274,3141 Wilson Blvd,,Arlington,VA,22201,ARLINGTON,1134.2555,100,38.88696289,-77.09608459,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
195242,Cvs Pharmacy 2418,2121 15th St N,,Arlington,VA,22201,ARLINGTON,1355.3256,100,38.89083481,-77.08488464,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
195585,Cvs Pharmacy 1372,6404 Williamsburg Blvd,,Arlington,VA,22207,ARLINGTON,2870.4226,97.928993,38.90004349,-77.15665436,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
195586,Cvs Pharmacy 1380,4709 Lee Hwy,Suite A,Arlington,VA,22207,ARLINGTON,2644.3303,100,38.89836884,-77.12232208,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
195593,Cvs Pharmacy 1421,1100 Wilson Blvd,,Rosslyn,VA,22209,ARLINGTON,5682.457,96,38.89453506,-77.07029724,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
195672,Cvs Pharmacy 1833,4238 Wilson Blvd # 1831,,Arlington,VA,22203,ARLINGTON,2659.0059,100,38.87982559,-77.11077118,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
195673,Cvs Pharmacy 1835,5402 Lee Hwy,,Arlington,VA,22207,ARLINGTON,2548.5671,100,38.89616776,-77.13767242,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
195697,Cvs Pharmacy 2491,2400 Jefferson Davis Hwy,,Arlington,VA,22202,ARLINGTON,3225.7351,100,38.85219574,-77.05310059,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
212595,Giant Food 743,3450 Washington Blvd,,Arlington,VA,22201,ARLINGTON,3686.875,100,38.88564301,-77.10296631,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
214665,Lucky Seven Food Mart,3215 24th St S,,Arlington,VA,22206,ARLINGTON,1601.3018,100,38.84863663,-77.08419037,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
220861,Crystal City Freshfarm Market,1800 Crystal Drive,,Arlington,VA,22202,ARLINGTON,3921.4578,100,38.85769653,-77.04933167,Exact,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
225891,Cvs Pharmacy Cvs10498,1555 Wilson Blvd,,Arlington,VA,22209,ARLINGTON,1947.5504,100,38.89487076,-77.07589722,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
226578,7-Eleven Store 39061A,4505 Lee Hwy,,Arlington,VA,22207,ARLINGTON,954.5188,100,38.89878464,-77.11891174,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
227608,7-Eleven 37130A 37130A,2001 Clarendon Blvd,,Arlington,VA,22201,ARLINGTON,6087.6655,100,38.89167023,-77.08264923,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
234200,Whole Foods Market 10531,520 12th St S,Ste 100,Arlington,VA,22202,ARLINGTON,5834.0771,100,38.86262131,-77.05697632,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
